Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x83f2fba0 System                    4      0     86      527 ------      0 2017-08-07 20:12:33 UTC+0000                                 
0x84e44d28 smss.exe                268      4      2       29 ------      0 2017-08-07 20:12:33 UTC+0000                                 
0x84f431d8 csrss.exe               344    336      9      381      0      0 2017-08-07 20:12:34 UTC+0000                                 
0x84f8e968 wininit.exe             380    336      5       84      0      0 2017-08-07 20:12:37 UTC+0000                                 
0x8559b030 csrss.exe               388    372      9      425      1      0 2017-08-07 20:12:37 UTC+0000                                 
0x8556ed28 winlogon.exe            428    372      4      117      1      0 2017-08-07 20:12:38 UTC+0000                                 
0x8575f030 services.exe            472    380      9      206      0      0 2017-08-07 20:12:38 UTC+0000                                 
0x84fc3c30 lsass.exe               480    380      0 --------      0      0 2017-08-07 20:12:39 UTC+0000   2017-08-07 20:22:47 UTC+0000  
0x84fc3208 lsm.exe                 488    380     10      150      0      0 2017-08-07 20:12:39 UTC+0000                                 
0x858d9b68 svchost.exe             596    472     10      350      0      0 2017-08-07 20:12:39 UTC+0000                                 
0x85915178 VBoxService.ex          660    472     11      113      0      0 2017-08-07 20:12:39 UTC+0000                                 
0x85903790 svchost.exe             712    472      7      264      0      0 2017-08-07 20:12:39 UTC+0000                                 
0x857790e8 svchost.exe             760    472     20      477      0      0 2017-08-07 20:12:40 UTC+0000                                 
0x8594bd28 svchost.exe             884    472     19      450      0      0 2017-08-07 20:12:40 UTC+0000                                 
0x8597e1c8 svchost.exe             928    472     12      286      0      0 2017-08-07 20:12:40 UTC+0000                                 
0x85984740 svchost.exe             960    472     33      986      0      0 2017-08-07 20:12:40 UTC+0000                                 
0x859a2370 audiodg.exe            1020    760      6      123      0      0 2017-08-07 20:12:40 UTC+0000                                 
0x859a1240 svchost.exe            1056    472      6      106      0      0 2017-08-07 20:12:40 UTC+0000                                 
0x859f8d28 svchost.exe            1224    472     15      379      0      0 2017-08-07 20:12:41 UTC+0000                                 
0x85a32428 dwm.exe                1356    884      3       72      1      0 2017-08-07 20:12:41 UTC+0000                                 
0x85a41030 explorer.exe           1368   1344     24      891      1      0 2017-08-07 20:12:41 UTC+0000                                 
0x85a5fc30 spoolsv.exe            1432    472     12      284      0      0 2017-08-07 20:12:41 UTC+0000                                 
0x85a7ec70 taskhost.exe           1472    472     10      285      1      0 2017-08-07 20:12:41 UTC+0000                                 
0x85a7f030 svchost.exe            1480    472     20      311      0      0 2017-08-07 20:12:41 UTC+0000                                 
0x85abe030 VBoxTray.exe           1636   1368     12      152      1      0 2017-08-07 20:12:42 UTC+0000                                 
0x84eae808 svchost.exe             232    472      5       98      0      0 2017-08-07 20:12:43 UTC+0000                                 
0x85b42500 SearchIndexer.         1596    472     13      660      0      0 2017-08-07 20:12:48 UTC+0000                                 
0x8565f818 swriter.exe            1584   1368      1       16      1      0 2017-08-07 20:12:56 UTC+0000                                 
0x84fe2d28 soffice.exe            1824   1584      1       61      1      0 2017-08-07 20:12:56 UTC+0000                                 
0x8565daa8 soffice.bin            1240   1824     16      355      1      0 2017-08-07 20:12:57 UTC+0000                                 
0x856734f0 vlc.exe                2076   1368      7      327      1      0 2017-08-07 20:12:58 UTC+0000                                 
0x858b2030 firefox.exe            2272   1368     47      606      1      0 2017-08-07 20:13:04 UTC+0000                                 
0x856f9620 FoxitReader.ex         2380   1368     25      483      1      0 2017-08-07 20:13:05 UTC+0000                                 
0x8589ebc8 firefox.exe            2512   2272     19      294      1      0 2017-08-07 20:13:06 UTC+0000                                 
0x856f5a40 FoxitReaderUpd         2560   2380      0 --------      1      0 2017-08-07 20:13:07 UTC+0000   2017-08-07 20:13:08 UTC+0000  
0x8571fd28 cmd.exe                3528   1368      1       24      1      0 2017-08-07 20:13:28 UTC+0000                                 
0x859eb448 conhost.exe            3536    388      2       55      1      0 2017-08-07 20:13:28 UTC+0000                                 
0x8573d748 svchost.exe            3956    472      8      117      0      0 2017-08-07 20:14:48 UTC+0000                                 
0x84e0d030 sppsvc.exe             3988    472      4      141      0      0 2017-08-07 20:14:48 UTC+0000                                 
0x8573b450 svchost.exe            4040    472     13      357      0      0 2017-08-07 20:14:48 UTC+0000                                 
0x8409e710 msiexec.exe            1688    472      7      314      0      0 2017-08-07 20:16:30 UTC+0000                                 
